orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;1566561.38
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;609267.77
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;2187147.62
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Apoio Administrativo, Técnico e Operacional;HONORARIOS ADVOCATICIOS - ONUS DA SUCUMBENCIA;44916.98
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Locação de Imóveis;LOCACAO DE IMOVEIS;17000
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;86894.73
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;50692.85
MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;Passagens e Despesas com Locomoção;PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO;246
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Tecnologia da Informação e Comunicação;OUTSOURCING DE IMPRESSAO;0
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;329
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Tecnologia da Informação e Comunicação;SUPORTE DE INFRAESTRUTURA DE TIC;442.89
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Tecnologia da Informação e Comunicação;LOCACAO DE SOFTWARES;68121.04
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;33562.5
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Vigilância Ostensiva;VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO;332.15
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;1325
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Serviços de Comunicação em Geral;SERVICOS GRAFICOS E EDITORIAIS;0
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;31737.27
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;771648.86
